"AppName","Version","Publisher","Type"
"Microsoft.WindowsAppRuntime.1.8","8000.806.2252.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsAppRuntime.1.8","8000.675.1142.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsAppRuntime.1.8","8000.731.1532.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsCalculator","11.2508.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsCamera","2025.2510.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"microsoft.windowscommunicationsapps","16005.14326.22342.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsFeedbackHub","1.2602.13304.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsMaps","11.2506.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsSoundRecorder","10.2103.28.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WindowsStore","22602.1401.6.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Winget.Platform.Source","2024.619.2424.27","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Winget.Source","2025.430.1133.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Xbox.TCUI","1.24.10001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.XboxApp","48.104.4001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.XboxGameCallableUI","1000.19041.4239.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.XboxGameOverlay","1.54.4001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.XboxGamingOverlay","7.326.2102.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.XboxIdentityProvider","12.130.16001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
